Disease,Model,MAE,RMSE,R²,Train Samples,Test Samples
SARI_deaths,TensorFlow Fusion LSTM + Dense,6.508693815366915,8.27171992906334,-15.017837374470915,188,48
pneumonia_u5,TensorFlow Fusion LSTM + Dense,121.99954063693683,143.44604648112147,-14.503842385670458,188,48
SARI,TensorFlow Fusion LSTM + Dense,228.7533801396688,277.5304313299466,-2.8016771318172835,188,48
TB,TensorFlow Fusion LSTM + Dense,350.8280127843221,414.46325372715137,-8.177843711111299,188,48
ILI,TensorFlow Fusion LSTM + Dense,1032.8511652946472,1251.1327889296044,-0.9607327581173559,188,48
ILD_deaths,TensorFlow Fusion LSTM + Dense,1492.7502970397472,1826.8061691287053,-1265.916773206634,188,48
