Disease,Model,MAE,RMSE,R²,Train Samples,Test Samples
SARI_deaths,TensorFlow Fusion LSTM + Dense,38.898087395562065,41.084031815539596,-30.285975123075943,32,9
ILD_deaths,TensorFlow Fusion LSTM + Dense,42.091430282592775,47.789953613489054,-1.1477953528244766,20,5
severe_pneumonia,TensorFlow Fusion LSTM + Dense,429.9785751342773,590.6146419908117,-19.200276999896616,38,10
pneumonia,TensorFlow Fusion LSTM + Dense,480.777880859375,707.7136346318825,-2.9361514964732005,38,10
SARI,TensorFlow Fusion LSTM + Dense,595.5776245117188,738.0635880763696,-0.5176872667760419,38,10
TB,TensorFlow Fusion LSTM + Dense,1697.4384521484376,2041.9484470926006,-5.324402291480605,38,10
ILI,TensorFlow Fusion LSTM + Dense,4725.513274383545,5459.9718176218985,-1.7497604207185158,38,10
cough_cold,TensorFlow Fusion LSTM + Dense,10635.1912109375,13097.570074730356,-11.561605222418287,38,10
