Disease,Model,MAE,RMSE,R²,Train Samples,Test Samples
SARI_deaths,TensorFlow Fusion LSTM + Dense,3.5356827131445296,4.588921787998876,-3.9298482271160315,188,48
pneumonia_u5,TensorFlow Fusion LSTM + Dense,120.3243944644928,143.3280403902791,-14.478344362716339,188,48
SARI,TensorFlow Fusion LSTM + Dense,191.09598088264465,242.5020341814671,-1.902583893460776,188,48
TB,TensorFlow Fusion LSTM + Dense,307.2870864868164,339.51869221837717,-5.158798175382291,188,48
ILD_deaths,TensorFlow Fusion LSTM + Dense,609.5385630739232,802.7967801230766,-243.66643318484975,188,48
ILI,TensorFlow Fusion LSTM + Dense,1518.8653659025829,1867.8415212110083,-3.3701027014714287,188,48
