,,Sex,,,Key age groups,,,,,,,,
Location,Parishes,Male,Female,Total,Age 0-4,Age 6-12,Age 13-18,Age 6-18,Age 14-64,Age 18-30,Age 18+,Age 65+,Age 80+
KAWEMPE DIVISION,MUK - MULUKA II,"3,710",578,"4,288",324,522,389,911,"3,197","2,078","3,057",105,23
KAWEMPE DIVISION,MUK - MULUKA III,"2,186",101,"2,287",112,183,130,313,"1,922","1,560","1,863",24,4
KAWEMPE DIVISION,MUK - MULUKA IV,"3,470",387,"3,857",418,584,434,"1,018","2,586","1,373","2,426",113,31
KAWEMPE DIVISION,MULAGO I,"8,509","2,773","11,282","1,193","1,534","1,336","2,870","7,760","3,330","7,215",353,95
KAWEMPE DIVISION,MULAGO II,"8,585","5,399","13,984","1,570","1,852","1,614","3,466","9,603","4,476","8,918",395,160
KAWEMPE DIVISION,MULAGO III,"11,884","8,873","20,757","2,407","2,594","2,376","4,970","14,529","6,924","13,381",403,92
KAWEMPE DIVISION,WANDEGEYA,"7,642","3,407","11,049","1,117","1,447","1,380","2,827","7,847","3,927","7,151",195,37
MAKINDYE DIVISION,BUKASA,"5,422","4,236","9,658","1,118","1,394","1,315","2,709","6,568","2,900","5,884",192,35
MAKINDYE DIVISION,BUZIGA,"9,866","9,583","19,449","2,011","2,678","2,735","5,413","13,511","6,276","12,156",466,78
MAKINDYE DIVISION,GGABA,"15,163","13,338","28,501","3,000","3,660","3,481","7,141","19,808","9,466","18,404",895,309
MAKINDYE DIVISION,KABALAGALA,"9,191","6,387","15,578","1,698","1,960","1,770","3,730","11,103","5,440","10,151",243,43
MAKINDYE DIVISION,KANSANGA,"15,149","12,527","27,676","2,445","3,105","3,066","6,171","20,664","11,375","19,165",558,125
MAKINDYE DIVISION,KATWE I,"5,654","2,929","8,583",878,"1,226","1,170","2,396","5,893","2,827","5,325",208,50
MAKINDYE DIVISION,KATWE II,"9,348","7,066","16,414","1,696","2,202","2,240","4,442","11,598","5,470","10,352",246,52
MAKINDYE DIVISION,KIBULI,"13,775","10,284","24,059","2,791","3,212","3,012","6,224","16,535","8,186","15,098",522,210
MAKINDYE DIVISION,KIBUYE I,"14,248","11,595","25,843","3,125","3,425","3,303","6,728","17,820","8,807","16,087",410,92
MAKINDYE DIVISION,KIBUYE II,"5,699","3,235","8,934",901,"1,238","1,027","2,265","6,264","2,746","5,751",186,36
MAKINDYE DIVISION,KISUGU,"12,815","8,984","21,799","2,397","2,988","2,698","5,686","15,037","6,900","13,756",487,103
MAKINDYE DIVISION,LUKULI,"19,931","17,406","37,337","3,963","5,094","4,792","9,886","25,902","12,376","23,490",802,177
MAKINDYE DIVISION,LUWAFU,"11,806","10,956","22,762","2,668","3,080","2,844","5,924","15,604","7,492","14,171",476,125
MAKINDYE DIVISION,MAKINDYE I,"11,696","10,047","21,743","2,461","2,792","2,569","5,361","15,251","7,365","13,964",374,93
MAKINDYE DIVISION,MAKINDYE II,"9,061","8,037","17,098","1,782","2,148","2,078","4,226","12,117","5,777","11,157",401,95
MAKINDYE DIVISION,MUYENGA,"5,656","4,347","10,003",957,"1,389","1,191","2,580","6,894","2,957","6,506",380,97
MAKINDYE DIVISION,NAMUWONGO,"10,184","9,212","19,396","2,433","2,602","2,251","4,853","12,840","6,374","12,116",739,507
MAKINDYE DIVISION,NSAMBYA CENTRAL,"21,014","18,004","39,018","4,487","5,349","5,108","10,457","26,880","12,751","24,140",613,115
MAKINDYE DIVISION,NSAMBYA ESTATE,884,334,"1,218",126,184,160,344,814,309,749,47,15
MAKINDYE DIVISION,NSAMBYA POLICE BARRACKS,"27,364","27,588","54,952","7,338","8,430","7,173","15,603","36,405","15,507","31,635",112,30
MAKINDYE DIVISION,NSAMBYA RAILWAYS,"1,305",225,"1,530",165,245,208,453,995,435,922,48,9
MAKINDYE DIVISION,SALAAMA,"19,346","18,483","37,829","4,321","5,241","4,961","10,202","26,055","12,219","23,417",610,180
MAKINDYE DIVISION,WABIGALO,"10,391","6,991","17,382","1,994","2,347","2,168","4,515","11,964","5,474","10,868",334,56
NAKAWA DIVISION,BANDA,"15,182","13,503","28,685","2,749","2,996","2,803","5,799","21,670","13,865","20,160",308,56
NAKAWA DIVISION,BUGOLOOBI,"6,168","3,343","9,511",802,"1,173",944,"2,117","6,781","2,577","6,579",414,87
NAKAWA DIVISION,BUKOTO I,"14,223","11,682","25,905","2,824","3,403","3,193","6,596","18,112","8,366","16,520",546,101
NAKAWA DIVISION,BUKOTO II,"12,286","12,029","24,315","2,494","3,074","2,905","5,979","17,245","7,950","15,917",613,135
NAKAWA DIVISION,BUTABIKA,"15,817","14,732","30,549","3,928","4,606","3,881","8,487","20,258","8,956","18,086",416,81
NAKAWA DIVISION,ITEK,"2,125",510,"2,635",261,422,272,694,"1,779","1,036","1,673",66,15
NAKAWA DIVISION,KISWA,"3,141","1,572","4,713",452,581,482,"1,063","3,427","1,643","3,217",86,4
NAKAWA DIVISION,KIWATULE,"10,148","10,640","20,788","2,287","2,582","2,507","5,089","14,742","6,820","13,475",388,86
NAKAWA DIVISION,KYAMBOGO,"2,337",885,"3,222",330,430,352,782,"2,207","1,157","2,122",117,25
NAKAWA DIVISION,KYANJA,"18,297","18,128","36,425","4,061","4,545","4,427","8,972","25,739","12,325","23,482",659,176
NAKAWA DIVISION,LUZIRA,"10,235","8,904","19,139","2,235","2,652","2,278","4,930","12,967","5,769","11,954",461,81
NAKAWA DIVISION,LUZIRA PRISONS,"17,416","17,627","35,043","5,092","5,464","4,427","9,891","22,632","9,904","19,692",66,15
NAKAWA DIVISION,MBUYA I,"12,759","11,114","23,873","2,806","3,104","2,686","5,790","16,706","8,449","15,229",300,59
NAKAWA DIVISION,MBUYA II,"26,401","24,793","51,194","7,324","7,838","6,664","14,502","33,142","15,326","29,157",448,117
NAKAWA DIVISION,MUTUNGO,"31,106","32,085","63,191","7,608","8,212","7,984","16,196","43,829","20,446","39,460",979,199
NAKAWA DIVISION,NABISUNSA,"2,065",429,"2,494",231,382,299,681,"1,697",682,"1,565",61,16
NAKAWA DIVISION,NAGURU I,473,255,728,63,73,79,152,557,252,527,17,4
NAKAWA DIVISION,NAGURU II,"13,798","11,475","25,273","2,478","3,156","3,081","6,237","17,871","8,289","16,541",747,263
NAKAWA DIVISION,NAKAWA,"1,397",921,"2,318",213,209,254,463,"1,775","1,009","1,653",36,8
NAKAWA DIVISION,NAKAWA INSTITUTIONS,338,112,450,53,63,43,106,307,175,288,10,1
NAKAWA DIVISION,NTINDA,"6,458","3,886","10,344",849,"1,233","1,122","2,355","7,440","3,225","7,177",468,86
NAKAWA DIVISION,UPK,"2,118",922,"3,040",289,328,269,597,"2,276","1,389","2,149",43,11
NAKAWA DIVISION,UPPER ESTATE,"2,841","2,056","4,897",570,721,604,"1,325","3,274","1,488","2,988",109,34
