date,pm2_5,avgtemp,avghumidity,avgtemp_sat,humidity_sat,windspeed,precip,TB,ILI,ILD_deaths,SARI,SARI_deaths,pneumonia,severe_pneumonia,cough_cold,year,month
2023-06-01,41.5925,22.705000000000002,83.8575,21.78,80.125,2.6825,38.64,2902.0,185.0,106.0,655,0.0,1432,258,25956,2023,6
2023-07-01,51.044,23.002000000000002,78.36800000000001,21.666,74.36800000000001,3.2039999999999997,8.082,3945.0,185.0,9.0,698,9.0,1593,442,28265,2023,7
2023-08-01,49.082499999999996,23.115,80.375,23.2625,69.2125,2.7775,9.182500000000001,3114.0,377.0,0.0,636,9.0,2164,211,27379,2023,8
2023-09-01,42.79,22.689999999999998,82.99666666666667,22.923333333333332,74.00333333333333,2.36,54.96666666666666,2292.0,226.0,0.0,274,0.0,1486,302,22234,2023,9
2023-10-01,32.3725,23.6475,81.08,22.3675,81.6975,1.9925,56.832499999999996,3282.0,395.0,3.0,1115,1.0,2245,285,25003,2023,10
2023-11-01,30.45,23.09,85.52,21.875,83.67,1.7375,73.3725,3267.0,669.0,10.0,826,2.0,1826,404,28847,2023,11
2023-12-01,46.5875,22.665,85.8075,22.14,80.31,1.855,31.134999999999998,2863.0,1767.0,10.0,1399,0.0,2142,257,27720,2023,12
2024-01-01,63.48333333333333,23.47666666666667,83.62666666666667,22.83,75.18333333333334,1.99,14.553333333333333,3090.0,1255.0,13.0,979,3.0,1413,484,25584,2024,1
2024-02-01,45.7875,24.3925,79.7075,23.96,74.195,2.0725,17.3925,4120.0,2261.0,0.0,923,3.0,1762,225,23097,2024,2
2024-03-01,29.6325,25.0825,78.89999999999999,23.43,78.06,2.375,41.5325,4000.0,3465.0,14.0,927,1.0,2022,569,24756,2024,3
2024-04-01,22.073333333333334,23.843333333333334,85.60000000000001,22.406666666666666,84.84666666666666,2.3400000000000003,54.68666666666667,2375.0,2771.0,0.0,534,1.0,2185,629,27611,2024,4
2024-05-01,28.69333333333333,24.583333333333332,84.39333333333333,22.563333333333333,82.42999999999999,2.9333333333333336,14.973333333333334,2802.0,2690.0,0.0,501,2.0,1784,462,22941,2024,5
2024-06-01,43.379999999999995,23.996666666666666,77.98,22.08666666666667,76.47666666666667,3.16,9.746666666666666,3103.0,4188.0,0.0,967,2.0,1981,265,26118,2024,6
2024-07-01,56.33,22.6175,84.83500000000001,22.1975,74.65,2.33,14.995,3635.0,8110.0,10.0,1588,9.0,3129,472,32066,2024,7
2024-08-01,50.9825,22.27,85.3425,22.61,72.4,2.0250000000000004,17.29,3755.0,12633.0,82.0,2497,4.0,1915,238,32018,2024,8
2024-09-01,44.672000000000004,23.1,82.43599999999999,23.27,72.314,2.096,31.944,5275.0,10944.0,2.0,2029,23.0,2032,234,22913,2024,9
2024-10-01,41.22666666666667,23.323333333333334,85.5,22.44333333333333,80.12,2.0733333333333333,44.68,2733.0,6537.0,0.0,1076,13.0,2140,523,26815,2024,10
2024-11-01,39.7325,22.973333333333333,85.17999999999999,22.1175,82.42,1.9175,42.714999999999996,3561.0,8747.0,8.0,1341,15.0,2144,413,21900,2024,11
2024-12-01,46.89666666666667,22.744999999999997,76.22333333333334,22.143333333333334,75.47666666666667,2.4566666666666666,13.073333333333332,2645.0,5788.0,0.0,1119,1.0,1880,423,21171,2024,12
