epi_year,epi_week,epi_week_label,Avg_Temp(C),AvgWindspeed(m/s),AvgPrecipitation(mm/day),AvgRelative_Humidity(%)
2022,11,2022-W11,24.36,2.75,12.93,69.23
2022,12,2022-W12,22.98,2.42,43.70,78.23
2022,13,2022-W13,22.70,2.68,41.49,77.75
2022,14,2022-W14,23.50,2.74,7.96,74.08
2022,15,2022-W15,22.74,2.46,23.62,77.35
2022,16,2022-W16,22.27,2.19,64.45,82.13
2022,17,2022-W17,21.75,2.14,49.49,82.92
2022,18,2022-W18,21.52,3.08,49.68,84.89
2022,19,2022-W19,22.50,2.67,8.62,80.99
2022,20,2022-W20,22.22,3.12,11.78,79.56
2022,21,2022-W21,20.77,2.25,34.01,84.42
2022,22,2022-W22,20.94,3.43,8.02,79.50
2022,23,2022-W23,21.02,3.78,16.87,78.53
2022,24,2022-W24,22.11,3.22,36.85,75.33
2022,25,2022-W25,20.71,3.36,4.05,77.47
2022,26,2022-W26,21.23,3.99,0.87,70.66
2022,27,2022-W27,20.86,4.25,0.15,68.50
2022,28,2022-W28,21.77,3.69,4.57,69.73
2022,29,2022-W29,21.70,4.07,2.97,67.27
2022,30,2022-W30,21.93,2.94,32.03,73.17
2022,31,2022-W31,21.32,3.04,16.56,74.62
2022,32,2022-W32,22.37,2.58,17.74,68.90
2022,33,2022-W33,21.41,1.98,48.73,78.66
2022,34,2022-W34,22.00,2.36,14.13,71.65
2022,35,2022-W35,21.65,2.66,22.57,76.24
2022,36,2022-W36,22.18,2.38,21.43,75.55
2022,37,2022-W37,21.81,2.23,24.66,77.95
2022,38,2022-W38,22.77,1.93,39.43,75.05
2022,39,2022-W39,22.24,1.71,23.10,73.79
2022,40,2022-W40,21.13,1.73,72.53,79.93
2022,41,2022-W41,21.83,1.91,39.30,79.62
2022,42,2022-W42,21.64,1.86,43.33,81.31
2022,43,2022-W43,23.22,1.80,12.90,73.94
2022,44,2022-W44,22.18,1.85,54.56,79.42
2022,45,2022-W45,21.47,1.81,42.77,81.90
2022,46,2022-W46,21.83,1.88,23.65,80.84
2022,47,2022-W47,21.79,1.71,75.40,80.07
2022,48,2022-W48,22.00,2.22,18.78,78.02
2022,49,2022-W49,21.56,2.02,61.19,81.60
2022,50,2022-W50,21.85,1.93,46.42,78.34
2022,51,2022-W51,21.84,2.15,23.87,77.61
2022,52,2022-W52,21.65,2.47,9.18,75.86
2023,1,2023-W1,22.84,2.64,1.32,65.70
2023,2,2023-W2,22.55,2.09,16.04,70.59
2023,3,2023-W3,24.14,2.29,0.59,61.77
2023,4,2023-W4,23.46,2.59,8.67,67.65
2023,5,2023-W5,24.57,2.07,4.02,60.58
2023,6,2023-W6,25.25,2.52,6.70,60.10
2023,7,2023-W7,25.82,2.62,0.68,55.04
2023,8,2023-W8,24.88,2.76,23.43,65.89
