year,week,epi_week_label,weekly_pm25_avg,weekly_temp_avg,weekly_humidity_avg,readings_per_week
2022,12,2022-W12,26.35,23.70,76.29,146.38
2022,13,2022-W13,26.09,23.11,80.96,71.38
2022,14,2022-W14,28.80,23.96,75.26,19.86
2022,15,2022-W15,29.18,23.27,79.75,39.50
2022,16,2022-W16,19.85,24.33,80.00,54.50
2022,17,2022-W17,24.95,22.31,85.41,74.60
2022,18,2022-W18,16.87,22.36,85.97,102.00
2022,19,2022-W19,21.88,23.18,84.67,63.50
2022,20,2022-W20,30.00,22.98,84.34,60.50
2022,21,2022-W21,35.32,21.55,86.66,62.75
2022,22,2022-W22,28.10,21.90,82.52,48.63
2022,23,2022-W23,34.10,22.57,79.66,64.86
2022,24,2022-W24,36.31,22.45,82.32,68.50
2022,25,2022-W25,47.20,22.31,79.20,59.43
2022,26,2022-W26,27.74,22.28,74.86,74.57
2022,27,2022-W27,49.14,21.89,74.11,68.83
2022,28,2022-W28,38.21,22.79,74.49,77.80
2022,29,2022-W29,38.02,22.29,74.81,66.00
2022,30,2022-W30,37.43,22.35,79.27,74.13
2022,31,2022-W31,40.50,21.63,80.54,113.86
2022,32,2022-W32,41.16,22.61,76.47,127.78
2022,33,2022-W33,32.05,21.21,85.50,139.89
2022,34,2022-W34,36.12,21.66,80.57,131.67
2022,35,2022-W35,30.46,20.83,85.94,155.22
2022,36,2022-W36,31.93,21.72,85.79,247.88
2022,37,2022-W37,30.76,20.95,89.61,173.00
2022,38,2022-W38,31.68,21.92,84.44,247.22
2022,39,2022-W39,40.30,22.24,83.41,247.11
2022,40,2022-W40,31.94,22.01,83.34,179.56
2022,41,2022-W41,36.47,22.12,82.31,866.00
2022,42,2022-W42,36.81,21.91,85.52,142.11
2022,43,2022-W43,34.35,23.59,78.91,133.56
2022,44,2022-W44,30.27,22.32,83.18,133.11
2022,45,2022-W45,28.37,21.97,83.57,109.89
2022,46,2022-W46,32.29,21.47,86.58,131.38
2022,47,2022-W47,28.66,21.65,86.09,116.33
2022,48,2022-W48,34.34,21.96,83.51,505.25
2022,49,2022-W49,30.01,21.93,83.55,324.17
2022,50,2022-W50,36.29,22.47,81.62,98.00
2022,51,2022-W51,49.08,21.23,88.41,90.29
2022,52,2022-W52,35.49,22.19,82.24,95.11
2023,1,2023-W1,42.78,24.16,67.65,258.00
2023,2,2023-W2,50.96,21.26,85.39,351.67
2023,3,2023-W3,55.67,22.62,80.09,700.71
2023,4,2023-W4,54.08,22.57,82.10,674.00
2023,5,2023-W5,52.10,23.64,73.19,252.57
2023,6,2023-W6,52.63,22.93,80.93,219.00
2023,7,2023-W7,68.76,25.00,63.72,255.29
2023,8,2023-W8,51.43,24.13,77.66,412.00
2023,9,2023-W9,27.62,22.68,81.92,246.71
2023,10,2023-W10,40.48,24.27,75.78,177.71
2023,11,2023-W11,28.29,22.03,84.69,150.57
2023,12,2023-W12,21.96,21.95,86.39,272.00
2023,13,2023-W13,28.09,21.92,85.84,235.71
2023,14,2023-W14,21.46,22.72,85.52,129.67
2023,15,2023-W15,21.25,23.89,81.67,121.43
2023,16,2023-W16,19.05,22.58,87.51,138.86
2023,17,2023-W17,22.12,21.83,87.00,138.57
2023,18,2023-W18,30.03,22.53,87.43,134.86
2023,19,2023-W19,22.74,23.38,85.24,123.43
2023,20,2023-W20,34.05,24.49,81.53,142.17
2023,21,2023-W21,31.13,24.08,80.06,598.50
2023,22,2023-W22,29.09,22.85,82.87,344.67
2023,23,2023-W23,39.99,22.89,82.66,120.50
2023,24,2023-W24,51.29,22.53,85.89,139.22
2023,25,2023-W25,46.00,22.55,84.01,287.44
2023,26,2023-W26,59.60,22.51,84.20,379.33
2023,27,2023-W27,41.17,22.66,77.65,216.78
2023,28,2023-W28,50.52,23.11,79.30,271.11
2023,29,2023-W29,48.62,23.52,73.02,235.00
2023,30,2023-W30,55.31,23.21,77.67,325.44
2023,31,2023-W31,51.90,21.75,84.17,97.00
2023,32,2023-W32,45.85,23.49,79.35,79.25
2023,33,2023-W33,50.05,23.16,81.32,75.38
2023,34,2023-W34,48.53,24.06,76.66,141.33
2023,35,2023-W35,47.38,23.38,78.99,311.67
2023,36,2023-W36,33.66,23.07,81.24,184.78
2023,38,2023-W38,47.33,21.62,88.76,64.57
2023,40,2023-W40,32.67,24.48,77.21,77.38
2023,41,2023-W41,42.83,23.08,84.89,64.25
2023,42,2023-W42,26.01,23.42,80.72,69.50
2023,43,2023-W43,27.98,23.61,81.50,64.50
2023,44,2023-W44,27.79,22.44,86.24,62.00
2023,45,2023-W45,35.54,23.83,81.23,69.50
2023,46,2023-W46,32.82,22.87,89.40,58.57
2023,47,2023-W47,25.65,23.22,85.21,48.71
2023,48,2023-W48,41.94,22.59,85.98,14.00
2023,49,2023-W49,35.09,21.96,90.06,66.00
2023,50,2023-W50,56.10,22.84,86.82,81.43
2023,52,2023-W52,53.22,23.27,80.37,33.75
2024,2,2024-W2,62.41,22.68,88.49,31.29
2024,3,2024-W3,71.70,24.19,79.39,38.38
2024,4,2024-W4,56.34,23.56,83.00,60.38
2024,5,2024-W5,66.13,23.15,83.96,67.63
2024,6,2024-W6,52.78,23.85,81.82,125.38
2024,7,2024-W7,29.46,23.53,86.05,27.38
2024,8,2024-W8,34.78,27.04,67.00,110.25
2024,9,2024-W9,35.52,23.90,83.35,56.50
2024,10,2024-W10,32.89,24.51,82.21,104.50
2024,11,2024-W11,27.79,26.97,69.74,49.75
2024,13,2024-W13,22.33,24.95,80.30,75.67
2024,14,2024-W14,23.98,23.02,88.23,110.89
2024,15,2024-W15,24.25,23.90,85.67,138.44
2024,16,2024-W16,17.99,24.61,82.90,76.89
2024,18,2024-W18,31.06,24.45,87.91,10.78
2024,20,2024-W20,28.78,24.89,82.71,23.00
2024,21,2024-W21,26.24,24.41,82.56,72.78
2024,22,2024-W22,39.73,25.67,79.11,64.00
2024,25,2024-W25,40.91,23.24,79.33,34.44
2024,26,2024-W26,49.50,23.08,75.50,409.00
2024,27,2024-W27,63.49,23.10,80.69,553.22
2024,28,2024-W28,53.41,22.88,86.58,273.67
2024,29,2024-W29,59.04,22.61,85.20,602.11
2024,30,2024-W30,49.38,21.88,86.87,593.00
2024,31,2024-W31,56.38,22.05,87.92,1250.25
2024,32,2024-W32,50.23,23.04,83.20,890.00
2024,33,2024-W33,43.35,22.04,87.82,1079.44
2024,34,2024-W34,53.97,21.95,82.43,769.33
2024,35,2024-W35,46.53,22.88,83.88,1074.67
2024,36,2024-W36,45.28,22.75,84.99,1107.78
2024,37,2024-W37,51.82,23.62,80.41,1091.56
2024,38,2024-W38,39.81,22.92,80.44,1043.56
2024,39,2024-W39,39.92,23.33,82.46,965.50
2024,40,2024-W40,40.73,23.58,82.30,769.13
2024,42,2024-W42,44.22,22.94,87.70,85.00
2024,43,2024-W43,38.73,23.45,86.50,1114.71
2024,44,2024-W44,37.57,22.83,85.74,1194.43
2024,45,2024-W45,34.87,23.01,84.02,1158.57
2024,46,2024-W46,42.82,23.08,85.78,993.00
2024,47,2024-W47,43.67,3.64,11.84,1208.25
2024,48,2024-W48,39.07,16.65,64.17,2178.75
2024,49,2024-W49,56.31,21.99,80.05,801.71
2024,50,2024-W50,45.31,23.50,84.45,530.43
